GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core.postgres_schema,info.smart_tools.smartactors.core.postgres_schema.search,FieldPath,0,16,0,0,0,5,0,3,0,3
core.postgres_schema,info.smart_tools.smartactors.core.postgres_schema.search,PagingWriter,13,46,3,3,2,13,3,3,0,3
core.postgres_schema,info.smart_tools.smartactors.core.postgres_schema.search,Conditions,18,126,2,14,7,39,3,11,1,5
core.postgres_schema,info.smart_tools.smartactors.core.postgres_schema.search,PostgresQueryWriterResolver,5,71,1,5,1,21,1,8,0,6
core.postgres_schema,info.smart_tools.smartactors.core.postgres_schema.search,OrderWriter,7,94,1,11,2,28,1,8,0,3
core.postgres_schema,info.smart_tools.smartactors.core.postgres_schema.search,Operators,28,242,1,21,10,52,2,18,1,8
core.postgres_schema,info.smart_tools.smartactors.core.postgres_schema.search,PostgresFieldPath,17,43,0,2,3,8,1,4,1,3
core.postgres_schema,info.smart_tools.smartactors.core.postgres_schema,PostgresSchema,40,219,1,7,14,75,2,11,1,8
core.postgres_schema,info.smart_tools.smartactors.core.postgres_schema,SearchClauses,21,155,1,7,7,38,2,6,1,3
core.postgres_schema,info.smart_tools.smartactors.core.postgres_schema.indexes,IndexCreators.new HashMap() {...},0,44,0,0,0,6,0,7,0,7
core.postgres_schema,info.smart_tools.smartactors.core.postgres_schema.indexes,IndexCreators,7,205,1,17,6,50,2,14,1,6
core.postgres_schema,info.smart_tools.smartactors.core.postgres_schema.indexes,FulltextIndexWriter,0,165,0,6,0,52,0,9,0,6
