GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core.server_with_iobject,info.smart_tools.smartactors.core.server_with_iobject,Server.new HashMap() {...},16,0,0,0,4,0,1,0,1,0
core.server_with_iobject,info.smart_tools.smartactors.core.server_with_iobject,Server.new ArrayList() {...},28,0,0,0,5,0,1,0,1,0
core.server_with_iobject,info.smart_tools.smartactors.core.server_with_iobject,Server.new ArrayList() {...},16,0,0,0,3,0,1,0,1,0
core.server_with_iobject,info.smart_tools.smartactors.core.server_with_iobject,Server.new ArrayList() {...},19,0,0,0,1,0,1,0,1,0
core.server_with_iobject,info.smart_tools.smartactors.core.server_with_iobject,Server.new ArrayList() {...},14,0,0,0,1,0,1,0,1,0
core.server_with_iobject,info.smart_tools.smartactors.core.server_with_iobject,Server,276,359,18,0,56,81,14,13,5,13
core.server_with_iobject,info.smart_tools.smartactors.core.server_with_iobject,Server.new ArrayList() {...},15,0,0,0,1,0,1,0,1,0
core.server_with_iobject,info.smart_tools.smartactors.core.server_with_iobject,Server.new ArrayList() {...},0,14,0,0,0,1,0,1,0,1
core.server_with_iobject,info.smart_tools.smartactors.core.server_with_iobject,Server.new ArrayList() {...},0,16,0,0,0,1,0,1,0,1
core.server_with_iobject,info.smart_tools.smartactors.core.server_with_iobject,Server.new ArrayList() {...},0,11,0,0,0,1,0,1,0,1
core.server_with_iobject,info.smart_tools.smartactors.core.server_with_iobject,Server.new ArrayList() {...},0,10,0,0,0,1,0,1,0,1
core.server_with_iobject,info.smart_tools.smartactors.core.server_with_iobject,Server.8.new ArrayList() {...},12,0,0,0,1,0,1,0,1,0
