GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core.wrapper_generator,info.smart_tools.smartactors.core.wrapper_generator.class_builder,ConstructorInfo,0,67,0,0,0,20,0,10,0,10
core.wrapper_generator,info.smart_tools.smartactors.core.wrapper_generator.class_builder,MethodInfo,0,83,0,0,0,26,0,14,0,14
core.wrapper_generator,info.smart_tools.smartactors.core.wrapper_generator.class_builder,MethodParameterInfo,0,25,0,0,0,10,0,6,0,6
core.wrapper_generator,info.smart_tools.smartactors.core.wrapper_generator.class_builder,ClassBuilder,24,687,9,41,7,213,7,31,0,13
core.wrapper_generator,info.smart_tools.smartactors.core.wrapper_generator.class_builder,Modifiers.new Modifiers() {...},0,8,0,0,0,2,0,2,0,2
core.wrapper_generator,info.smart_tools.smartactors.core.wrapper_generator.class_builder,FieldInfo,5,36,0,0,2,14,1,9,1,9
core.wrapper_generator,info.smart_tools.smartactors.core.wrapper_generator.class_builder,Modifiers.new Modifiers() {...},0,8,0,0,0,2,0,2,0,2
core.wrapper_generator,info.smart_tools.smartactors.core.wrapper_generator.class_builder,Modifiers.new Modifiers() {...},0,8,0,0,0,2,0,2,0,2
core.wrapper_generator,info.smart_tools.smartactors.core.wrapper_generator.class_builder,Modifiers.new Modifiers() {...},0,8,0,0,0,2,0,2,0,2
core.wrapper_generator,info.smart_tools.smartactors.core.wrapper_generator.class_builder,ConstructorParameterInfo,0,25,0,0,0,10,0,6,0,6
core.wrapper_generator,info.smart_tools.smartactors.core.wrapper_generator.class_builder,ClassInfo,0,48,0,0,0,17,0,10,0,10
core.wrapper_generator,info.smart_tools.smartactors.core.wrapper_generator.class_builder,Modifiers,9,49,0,0,0,5,2,2,2,2
core.wrapper_generator,info.smart_tools.smartactors.core.wrapper_generator,Field,32,9,5,1,8,4,5,1,2,1
core.wrapper_generator,info.smart_tools.smartactors.core.wrapper_generator,WrapperGenerator,17,511,1,29,5,118,1,18,0,4
